ruta,clase,cubierto_base,cubierto_propuesta,manifiestos_propuesta
experimentos/analizar_arbiter.py,A_codigo_documentacion,no,no,
experimentos/analizar_e3.py,A_codigo_documentacion,no,no,
experimentos/analizar_iso25010.py,A_codigo_documentacion,no,no,
experimentos/analyze_speedup.py,A_codigo_documentacion,no,no,
experimentos/arbiter_core.py,A_codigo_documentacion,no,no,
experimentos/auditar_http_arbiter.py,A_codigo_documentacion,no,no,
experimentos/caida_coordinador.py,A_codigo_documentacion,no,no,
experimentos/cierre-e2-fiabilidad.md,A_codigo_documentacion,no,no,
experimentos/e3_instrumental.py,A_codigo_documentacion,no,no,
experimentos/ejecucion-iso25010.md,A_codigo_documentacion,no,no,
experimentos/ejecutar_campana_arbiter.py,A_codigo_documentacion,no,no,
experimentos/ejecutar_e3.py,A_codigo_documentacion,no,no,
experimentos/ejecutar_iso25010.ps1,A_codigo_documentacion,no,no,
experimentos/ejecutar_iso25010.sh,A_codigo_documentacion,no,no,
experimentos/evidencia-17/20260916/README.md,A_codigo_documentacion,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/SHA256SUMS.txt,D_manifest,no,no,
experimentos/evidencia-17/20260916/analysis-definitivo-233b34ac-a09f-40c9-be71-5570f25affbd/resumen.csv,C_derived,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/analysis-definitivo-233b34ac-a09f-40c9-be71-5570f25affbd/resumen.json,C_derived,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/analysis-definitivo-233b34ac-a09f-40c9-be71-5570f25affbd/speedup.png,C_derived,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-21-20.263055Z_pandas-baseline_505141fe-1880-4a03-ae77-3037d9ec90c9.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-21-43.323581Z_pyspark-pipeline_3f877a2f-51d0-4446-a2d7-e0faa79fe37c.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-22-33.112816Z_pyspark-pipeline_d95b8092-8db3-4b5c-9b6b-2c546e7b9b7b.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-23-13.988455Z_pyspark-pipeline_a5814e9b-8665-4b0e-b496-e5ffc246c354.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-23-55.534210Z_pyspark-pipeline_44820120-9ac9-46b9-b135-0afa8055097f.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-24-34.238889Z_pyspark-pipeline_235c5c8d-6c4a-4caa-9d1d-e938d07bef00.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-25-20.166225Z_pandas-baseline_24606bde-dbee-4048-af60-901a9446c32f.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-25-39.654434Z_pyspark-pipeline_2f9835be-a0d3-4b72-ae76-714f80f15c0e.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-26-26.391562Z_pyspark-pipeline_ae97e49d-0372-4daf-a626-aac07d253967.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-27-07.364890Z_pyspark-pipeline_3c8e60cf-f0b2-4eb5-86a0-7427f5afbe00.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-27-55.436052Z_pyspark-pipeline_16a4f281-611e-4b0b-ab5d-3e5d1f9e0c44.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-28-37.383562Z_pyspark-pipeline_ac720459-fb53-4504-ad72-1241fbc48b51.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-29-17.830887Z_pyspark-pipeline_7c2ab14a-a3c0-4b7d-a06b-91208efefe72.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-30-00.284571Z_pyspark-pipeline_464a032f-d4af-4e89-b1a6-9c3798d4b7b1.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-30-40.896520Z_pyspark-pipeline_b60e2072-f9b0-4d56-b347-4cd9f69ecdf0.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-31-25.976337Z_pyspark-pipeline_6656665f-c50b-4ffd-bb52-12bf176c07c6.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-32-04.398894Z_pyspark-pipeline_ea90afd5-6e84-4da5-85e6-c9d9e7f174b1.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-32-43.132352Z_pandas-baseline_633d7631-1d34-4d6b-b992-d18585746504.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-33-01.107840Z_pandas-baseline_6fda1e8d-e7b7-470a-94c1-157650a3e99a.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-33-17.636926Z_pyspark-pipeline_1fb702de-3498-4587-8498-f2313f451258.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-33-54.187965Z_pyspark-pipeline_adc9628c-6919-4729-961d-7970148df197.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-34-33.068243Z_pyspark-pipeline_d5cb1292-78ff-456e-a7ea-e6c606187ce0.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-35-10.435346Z_pyspark-pipeline_d31ab747-7137-47e6-a45d-0e078d737408.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-35-50.739101Z_pyspark-pipeline_358a3e16-4a5e-48a1-9e32-17599d7c4a79.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-36-31.272351Z_pyspark-pipeline_439f0215-df9d-4297-a87b-bdb8cbee52d6.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-37-11.496282Z_pyspark-pipeline_efe0520b-d127-4593-ae3a-2b2017f48e77.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-37-49.717021Z_pyspark-pipeline_c83f7481-1987-4406-b63d-08a72c52812d.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-38-23.774157Z_pyspark-pipeline_3e691da9-4b15-48cd-bdac-ea0566403f64.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-39-03.307359Z_pyspark-pipeline_4002b4a5-6ab1-43c2-b327-b002040659a5.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-39-50.544261Z_pandas-baseline_4ab9e990-c9dc-4175-9111-82e4afdb2f65.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-40-07.687575Z_pandas-baseline_1e4eceaf-5891-495c-a524-8cb0b68591cd.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-40-23.199525Z_pyspark-pipeline_e87f5a30-5d8e-4e6e-af66-616c97bae9d1.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-40-58.620324Z_pyspark-pipeline_0b0fd047-6a0c-4501-bf5e-35c1daccc3b8.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
experimentos/evidencia-17/20260916/benchmark-definitivo-9d94efe6-7bb7-4227-b78e-c70092e9bcfb/2026-09-17T00-41-36.185184Z_pyspark-pipeline_6444d1df-9532-4b65-bf91-c3cc7b10c4ab.json,B_raw,si,si,experimentos/evidencia-17/20260916/SHA256SUMS.txt
