escenario,repeticion,intento,usuarios,duracion,total_requests,failures,failure_rate_percent,p95_ms,p99_ms,valida,observacion
fiabilidad_nominal_50u_1h_refresh,1,3,50,1h,89658,0,0.000000,6.620457,9.827799,si,Valida; percentiles recalculados desde locust_requests.csv sobre GET de negocio.
fiabilidad_nominal_50u_1h_refresh,2,1,50,1h,89685,0,0.000000,6.704423,10.300085,si,Valida; percentiles recalculados desde locust_requests.csv sobre GET de negocio.
fiabilidad_nominal_50u_1h_refresh,3,1,50,1h,89689,0,0.000000,6.443099,9.093202,si,Valida; percentiles recalculados desde locust_requests.csv sobre GET de negocio.
fiabilidad_nominal_50u_1h_refresh,4,3,50,1h,89691,0,0.000000,7.060784,10.711798,si,Valida; percentiles recalculados desde locust_requests.csv sobre GET de negocio.
fiabilidad_nominal_50u_1h_refresh,5,1,50,1h,89726,0,0.000000,6.684224,9.806598,si,Valida; percentiles recalculados desde locust_requests.csv sobre GET de negocio.
fiabilidad_nominal_50u_1h_refresh,6,2,50,1h,89721,0,0.000000,6.664765,9.655038,si,Valida; percentiles recalculados desde locust_requests.csv sobre GET de negocio.
fiabilidad_nominal_50u_1h_refresh,7,1,50,1h,89624,0,0.000000,6.710125,9.970236,si,Valida; percentiles recalculados desde locust_requests.csv sobre GET de negocio.
fiabilidad_nominal_50u_1h_refresh,8,1,50,1h,89718,0,0.000000,6.600037,9.677521,si,Valida; percentiles recalculados desde locust_requests.csv sobre GET de negocio.
fiabilidad_nominal_50u_1h_refresh,9,1,50,1h,89732,0,0.000000,6.577682,9.577590,si,Valida; percentiles recalculados desde locust_requests.csv sobre GET de negocio.
fiabilidad_nominal_50u_1h_refresh,10,1,50,1h,89720,0,0.000000,6.831006,10.226293,si,Valida; percentiles recalculados desde locust_requests.csv sobre GET de negocio.
