Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789882449,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1789882450,10,GET,GET /api/v1/reservas,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,10.638796004059259,10.638796004059259,10.638796004059259,10.638796004059259,8965.0
1789882450,10,POST,POST /api/v1/auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,979.3889420034247,979.3889420034247,979.3889420034247,979.3889420034247,1622.0
1789882450,10,,Aggregated,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,2,0,11,495.013869003742,10.638796004059259,979.3889420034247,5293.5
1789882451,20,GET,GET /api/v1/reservas,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,14,0,11,11.062987357685675,7.7918609968037345,21.948847999738064,8965.0
1789882451,20,POST,POST /api/v1/auth/login,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,14,0,1100.0,1081.5251769288027,628.633758999058,1370.3016710060183,1622.0
1789882451,20,,Aggregated,0.000000,0.000000,630,980,1100,1200,1300,1400,1400,1400,1400,1400,1400,28,0,22,546.2940821432442,7.7918609968037345,1370.3016710060183,5293.5
1789882452,30,GET,GET /api/v1/reservas,0.000000,0.000000,9,10,12,22,22,62,62,62,62,62,62,26,0,10,12.694327692420652,6.343465000099968,62.126384997100104,8965.0
1789882452,30,GET,GET /api/v1/reservas/{id},0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,1,0,9.26182799594244,9.26182799594244,9.26182799594244,9.26182799594244,442.0
1789882452,30,POST,POST /api/v1/auth/login,0.000000,0.000000,1100,1300,1300,1400,1500,1500,1500,1500,1500,1500,1500,21,0,1100.0,1137.792503190992,628.633758999058,1534.9283520044992,1622.0
1789882452,30,,Aggregated,0.000000,0.000000,22,970,1100,1200,1300,1400,1500,1500,1500,1500,1500,48,0,13,504.8532690627023,6.343465000099968,1534.9283520044992,5574.875
1789882453,40,GET,GET /api/v1/reservas,5.500000,0.000000,9,10,12,12,22,22,62,62,62,62,62,38,0,10,11.826039420779317,6.343465000099968,62.126384997100104,8965.0
1789882453,40,GET,GET /api/v1/reservas/{id},0.000000,0.000000,9,9,9,9,9,9,9,9,9,9,9,2,0,6,7.627065500855679,5.9923030057689175,9.26182799594244,442.0
